Name,Pos,Off. Role,Minutes,MPG,BPM,OBPM,DBPM,Contribution,VORP
Kelsey Plum,1.5,2.4,707.0,35.4,0.3,2.4,-2.1,0.3,1.01
A'ja Wilson,5.0,1.7,675.0,33.8,12.4,8.8,3.6,10.4,6.04
Jackie Young,2.0,1.8,633.0,33.3,3.9,4.4,-0.5,3.1,2.32
Alysha Clark,2.8,3.7,530.0,26.5,-1.8,-2.7,0.9,-1.2,0.07
Kiah Stokes,5.0,5.0,413.0,21.7,-0.7,-2.9,2.2,-0.4,0.33
Kate Martin,2.9,4.3,289.0,15.2,-2.5,-1.8,-0.7,-0.9,-0.09
Tiffany Hayes,2.4,3.4,280.0,21.5,-1.2,-1.4,0.2,-0.4,0.14
Chelsea Gray,2.1,2.9,181.0,22.6,-1.2,-0.9,-0.3,-0.3,0.09
Megan Gustafson,4.1,4.3,175.0,8.8,-3.6,-2.5,-1.1,-0.8,-0.17
Sydney Colson,1.2,3.6,107.0,6.3,-3.1,-2.7,-0.4,-0.4,-0.07
Kierstan Bell,3.4,4.1,17.0,5.7,-4.4,-2.4,-2.0,-0.1,-0.03
Emma Cannon,3.4,3.7,9.0,1.8,-0.5,-0.3,-0.2,-0.0,0.01
